applicant_id,age,annual_income,loan_amount,credit_score,employment_status,loan_term_months,existing_loans,debt_to_income_ratio,home_ownership,loan_default
APP0065,44,84558.0,57313.0,769.0,Unemployed,60,5,0.34,Mortgage,1
APP0066,57,70784.0,118144.0,361.0,Salaried,36,0,0.137,Mortgage,1
APP0067,40,164697.0,93838.0,650.0,Salaried,48,1,0.337,Mortgage,0
APP0068,59,78014.0,74509.0,511.0,Contract,36,2,0.44,Rent,1
APP0069,56,30367.0,25289.0,728.0,Salaried,36,0,0.701,Mortgage,0
APP0070,24,94068.0,59572.0,333.0,Contract,36,4,0.075,Rent,1
APP0071,48,146900.0,99528.0,794.0,Self-employed,60,5,0.485,Mortgage,1
APP0072,29,48694.0,148062.0,684.0,Salaried,36,2,0.37,Own,0
APP0073,45,92996.0,5709.0,547.0,Contract,36,5,0.064,Rent,1
APP0074,40,39047.0,109075.0,414.0,Salaried,36,4,0.225,Rent,0
APP0075,61,129210.0,127719.0,838.0,Salaried,48,4,0.133,Rent,0
APP0076,64,95064.0,142924.0,466.0,Self-employed,12,4,0.202,Rent,1
APP0077,44,71492.0,66451.0,570.0,Salaried,36,3,0.242,Mortgage,0
APP0078,47,54759.0,22179.0,517.0,Self-employed,36,0,0.331,Own,0
APP0079,52,109449.0,44290.0,427.0,Self-employed,60,5,0.42,Rent,1
APP0080,53,126510.0,128328.0,529.0,Unemployed,36,3,0.051,Own,1
APP0081,52,170330.0,132301.0,383.0,Unemployed,36,5,0.163,Mortgage,1
APP0082,60,88819.0,97376.0,300.0,Salaried,60,5,0.115,Mortgage,1
APP0083,70,44031.0,22797.0,459.0,Salaried,36,1,0.435,Rent,1
APP0084,62,152894.0,22678.0,361.0,Self-employed,24,2,0.28,Rent,1
APP0085,27,120022.0,74335.0,528.0,Unemployed,24,1,0.434,Mortgage,0
APP0086,44,131443.0,90297.0,775.0,Salaried,24,0,0.205,Mortgage,0
APP0087,44,33750.0,9694.0,389.0,Salaried,12,5,0.067,Rent,1
APP0088,46,68603.0,104484.0,300.0,Salaried,36,5,0.709,Rent,1
APP0089,47,142391.0,83954.0,,Salaried,48,5,0.126,Mortgage,1
APP0090,56,152826.0,6783.0,580.0,Self-employed,48,5,0.139,Own,0
APP0091,42,88505.0,18873.0,451.0,Salaried,12,3,0.153,Mortgage,1
APP0092,34,148372.0,70876.0,569.0,Contract,36,3,0.737,Rent,1
APP0093,43,154354.0,109775.0,316.0,Contract,24,5,0.482,Mortgage,1
APP0094,63,80771.0,124683.0,483.0,Contract,60,3,0.477,Own,1
APP0095,36,163491.0,67539.0,525.0,Salaried,24,3,0.741,Own,1
APP0096,22,64709.0,47827.0,537.0,Salaried,36,1,0.112,Mortgage,1
APP0097,69,56808.0,145405.0,603.0,Self-employed,36,4,0.732,Mortgage,0
APP0098,30,128564.0,71489.0,730.0,Contract,36,4,0.193,Mortgage,0
APP0099,51,121156.0,50731.0,557.0,Salaried,36,4,0.486,Mortgage,1
APP0100,61,40640.0,69135.0,763.0,Contract,48,2,0.344,Rent,0
APP0101,34,152904.0,6753.0,591.0,Salaried,36,1,0.319,Own,1
APP0102,38,50385.0,48779.0,443.0,Contract,60,0,0.702,Own,0
APP0103,35,148394.0,79755.0,426.0,Salaried,36,3,0.154,Rent,1
APP0104,28,19192.0,138174.0,477.0,Salaried,48,4,0.748,Own,1
APP0105,28,147089.0,112043.0,629.0,Self-employed,60,4,0.315,Mortgage,1
APP0106,30,145482.0,118288.0,433.0,Salaried,60,5,0.504,Own,1
APP0107,43,144419.0,84011.0,803.0,Salaried,24,2,0.728,Own,1
APP0108,47,125706.0,21035.0,564.0,Salaried,36,4,0.09,Own,0
APP0109,21,94394.0,61684.0,775.0,Salaried,36,4,0.696,Own,1
APP0110,63,132237.0,149571.0,676.0,Contract,36,1,0.447,Own,0
APP0111,54,62893.0,11404.0,483.0,Salaried,36,5,0.543,Rent,1
APP0112,24,144478.0,132484.0,425.0,Self-employed,60,0,0.154,Rent,0
APP0113,63,108015.0,104252.0,709.0,Contract,60,3,0.423,Rent,1
APP0114,22,92344.0,46167.0,482.0,Salaried,36,5,0.521,Mortgage,1
APP0115,49,99908.0,117809.0,436.0,Salaried,36,3,0.369,Rent,1
APP0116,44,110136.0,126350.0,812.0,Contract,60,5,0.158,Rent,1
APP0117,46,24036.0,11266.0,565.0,Contract,60,0,0.221,Rent,1
APP0118,68,40647.0,20430.0,326.0,Self-employed,24,3,0.648,Own,1
APP0119,67,57768.0,101534.0,572.0,Contract,36,4,0.074,Rent,0
APP0120,34,36553.0,149871.0,553.0,Salaried,60,3,0.546,Mortgage,1
APP0121,49,89217.0,8475.0,776.0,Salaried,36,5,0.75,Rent,1
APP0122,68,126281.0,101524.0,692.0,Self-employed,36,2,0.055,Own,0
APP0123,57,124018.0,24796.0,405.0,Salaried,60,4,0.163,Rent,1
APP0124,65,94318.0,99268.0,382.0,Contract,60,2,0.522,Mortgage,1
APP0125,42,156523.0,95381.0,632.0,Salaried,60,5,0.092,Rent,0
APP0126,35,109568.0,18113.0,326.0,Contract,48,0,0.463,Rent,1
APP0127,46,30830.0,103706.0,475.0,Salaried,36,1,0.529,Mortgage,1
APP0128,61,141930.0,135070.0,376.0,Salaried,36,0,0.462,Rent,1
APP0129,67,111085.0,130200.0,311.0,Salaried,36,4,0.306,Rent,1
APP0130,55,120825.0,9204.0,806.0,Salaried,36,1,0.538,Own,1
APP0131,56,109591.0,40658.0,349.0,Contract,36,1,0.466,Own,0
APP0132,46,107680.0,39920.0,305.0,Salaried,36,5,0.195,Mortgage,1
APP0133,36,32671.0,70727.0,814.0,Salaried,36,2,0.444,Rent,1
APP0134,42,108592.0,25738.0,403.0,Salaried,48,0,0.667,Rent,0
APP0135,45,146776.0,128881.0,749.0,Salaried,36,0,0.517,Rent,1
APP0136,61,67240.0,117632.0,317.0,Contract,36,1,0.38,Own,1
APP0137,48,115660.0,122211.0,384.0,Salaried,24,5,0.275,Mortgage,1
APP0138,60,22992.0,33739.0,360.0,Unemployed,24,3,0.11,Own,1
APP0139,22,74295.0,7113.0,689.0,Salaried,60,5,0.221,Mortgage,1
APP0140,58,88748.0,137043.0,641.0,Self-employed,36,1,0.058,Rent,1
APP0141,46,177204.0,46892.0,562.0,Salaried,24,2,0.741,Own,1
APP0142,70,52762.0,100159.0,433.0,Salaried,48,0,0.206,Own,1
APP0143,44,62801.0,136869.0,348.0,Contract,36,2,0.62,Mortgage,1
APP0144,44,84182.0,10243.0,613.0,Unemployed,12,3,0.168,Own,1
APP0145,27,178812.0,5793.0,427.0,Contract,36,4,0.249,Own,1
APP0146,61,156252.0,5787.0,625.0,Salaried,24,2,0.343,Mortgage,0
APP0147,56,23620.0,27667.0,678.0,Salaried,48,4,0.277,Rent,1
APP0148,64,55898.0,12490.0,768.0,Self-employed,36,3,0.609,Rent,1
APP0149,25,151112.0,123898.0,572.0,Salaried,12,1,0.72,Own,1
APP0150,31,27445.0,92859.0,302.0,Self-employed,12,5,0.663,Mortgage,1
APP0151,64,156619.0,147107.0,454.0,Self-employed,36,2,0.158,Own,0
APP0152,23,63584.0,121215.0,770.0,Self-employed,12,0,0.594,Own,0
APP0153,46,166660.0,144663.0,593.0,Contract,60,5,0.154,Rent,1
APP0154,41,65562.0,39590.0,641.0,Self-employed,24,5,0.689,Own,1
APP0155,67,88359.0,46731.0,552.0,Salaried,36,0,0.413,Rent,0
APP0156,63,125231.0,128165.0,389.0,Salaried,36,5,0.285,Own,1
APP0157,65,38457.0,40508.0,794.0,Self-employed,36,5,0.16,Own,0
APP0158,35,108239.0,13298.0,725.0,Salaried,12,4,0.058,Rent,0
APP0159,50,99813.0,102024.0,848.0,Salaried,60,1,0.224,Mortgage,0
APP0160,56,144992.0,121140.0,771.0,Salaried,60,3,0.69,Own,1
APP0161,69,179370.0,145389.0,460.0,Contract,12,3,0.608,Own,1
APP0162,21,125619.0,139531.0,440.0,Contract,24,3,0.729,Mortgage,1
APP0163,69,84288.0,22433.0,436.0,Self-employed,60,3,0.121,Mortgage,0
APP0164,38,83835.0,116956.0,806.0,Salaried,36,3,0.465,Rent,0
APP0165,27,85709.0,127689.0,606.0,Salaried,24,3,0.23,Own,1
APP0166,51,149872.0,106228.0,550.0,Self-employed,24,4,0.43,Rent,1
APP0167,60,70037.0,123871.0,833.0,Salaried,48,3,0.274,Own,0
APP0168,27,45049.0,126507.0,632.0,Self-employed,48,0,0.248,Own,0
APP0169,23,72155.0,69750.0,801.0,Self-employed,36,0,0.452,Rent,0
APP0170,65,21679.0,10821.0,842.0,Salaried,60,5,0.178,Rent,0
APP0171,67,35195.0,71148.0,343.0,Salaried,36,5,0.378,Rent,1
APP0172,28,32587.0,34258.0,499.0,Salaried,36,3,0.506,Rent,1
APP0173,66,142992.0,21490.0,704.0,Contract,36,1,0.14,Own,0
APP0174,66,135022.0,23114.0,748.0,Self-employed,36,4,0.701,Rent,0
APP0175,70,130877.0,106119.0,381.0,Salaried,24,0,0.404,Mortgage,1
APP0176,31,92824.0,78157.0,475.0,Contract,12,2,0.624,Mortgage,1
APP0177,49,134164.0,83277.0,602.0,Salaried,36,1,0.508,Rent,0
APP0178,70,44126.0,113053.0,740.0,Salaried,48,0,0.547,Rent,0
APP0179,66,163901.0,84499.0,362.0,Unemployed,12,4,0.551,Own,1
APP0180,51,99169.0,96352.0,631.0,Salaried,36,3,0.663,Own,1
APP0181,30,169965.0,17473.0,463.0,Salaried,36,1,0.48,Rent,1
APP0182,25,42674.0,128414.0,419.0,Self-employed,36,3,0.245,Own,0
APP0183,33,98567.0,70073.0,583.0,Salaried,48,0,0.12,Rent,0
APP0184,24,130804.0,27506.0,528.0,Self-employed,60,2,0.474,Rent,1
APP0185,30,98291.0,122933.0,650.0,Salaried,48,3,0.096,Own,1
APP0186,24,90277.0,111520.0,475.0,Salaried,24,2,0.219,Own,0
APP0187,59,44926.0,12688.0,753.0,Salaried,36,4,0.092,Rent,1
APP0188,50,79725.0,32991.0,343.0,Salaried,36,1,0.434,Mortgage,1
APP0189,46,56680.0,7283.0,774.0,Salaried,36,0,0.162,Rent,0
APP0190,61,66845.0,44260.0,316.0,Salaried,12,3,0.477,Rent,1
APP0191,41,128760.0,19497.0,705.0,Contract,24,5,0.604,Own,1
APP0192,41,120106.0,107936.0,490.0,Salaried,36,2,0.625,Rent,1
APP0193,31,116366.0,80770.0,511.0,Salaried,36,0,0.267,Own,1
APP0194,43,76614.0,147130.0,310.0,Salaried,24,5,0.434,Rent,1
APP0195,29,173471.0,113667.0,686.0,Salaried,60,2,0.444,Mortgage,0
APP0196,50,32199.0,93674.0,391.0,Salaried,60,1,0.381,Rent,1
APP0197,70,73500.0,78850.0,663.0,Self-employed,24,3,0.509,Own,1
APP0198,47,37117.0,12902.0,699.0,Salaried,60,1,0.197,Own,0
APP0199,35,72909.0,15179.0,765.0,Contract,12,5,0.735,Own,0
APP0200,55,173828.0,94365.0,690.0,Unemployed,60,1,0.119,Rent,0
APP0201,62,77335.0,5634.0,466.0,Salaried,60,3,0.63,Mortgage,1
APP0202,44,165190.0,11140.0,706.0,Salaried,12,3,0.466,Own,0
APP0203,33,98201.0,36774.0,755.0,Salaried,48,1,0.221,Rent,0
APP0204,56,131353.0,133202.0,474.0,Self-employed,60,2,0.572,Rent,1
APP0205,30,92102.0,71545.0,368.0,Salaried,60,0,0.109,Own,0
APP0206,70,61071.0,107889.0,790.0,,60,3,0.592,Own,1
APP0207,36,141805.0,64676.0,381.0,Contract,36,4,0.463,Rent,1
APP0208,38,175007.0,30103.0,627.0,Contract,12,5,0.128,Rent,0
APP0209,57,60691.0,58818.0,430.0,Self-employed,60,1,0.106,Rent,1
APP0210,21,144158.0,18299.0,369.0,Unemployed,36,1,0.576,Rent,0
APP0211,31,60304.0,116687.0,727.0,Salaried,36,3,0.255,Mortgage,0
APP0212,27,134136.0,31612.0,379.0,Salaried,36,4,0.673,Mortgage,1
APP0213,40,145819.0,59575.0,669.0,Salaried,36,5,0.583,Mortgage,0
APP0214,48,90797.0,147104.0,681.0,Unemployed,24,0,0.539,Mortgage,1
APP0215,29,137381.0,90835.0,333.0,Self-employed,48,1,0.245,Mortgage,1
APP0216,38,62103.0,71491.0,395.0,Contract,12,1,0.546,Mortgage,1
APP0217,59,30839.0,83737.0,737.0,Salaried,48,1,0.714,Rent,0
APP0218,67,33615.0,118692.0,579.0,Unemployed,60,2,0.114,Mortgage,1
APP0219,21,90418.0,41900.0,366.0,Salaried,36,5,0.278,Mortgage,1
APP0220,52,164222.0,97279.0,846.0,Salaried,36,0,0.214,Rent,0
APP0221,22,38667.0,131541.0,446.0,Unemployed,36,4,0.325,Rent,1
APP0222,47,91836.0,88000.0,302.0,Salaried,60,3,0.57,Rent,1
APP0223,64,132053.0,69748.0,809.0,Salaried,48,3,0.382,Mortgage,0
APP0224,60,50783.0,26044.0,309.0,Self-employed,36,4,0.45,Rent,1
APP0225,32,134902.0,41002.0,604.0,Salaried,24,0,0.27,Mortgage,0
APP0226,33,67565.0,142174.0,847.0,Salaried,24,4,0.149,Mortgage,0
APP0227,60,149003.0,83483.0,618.0,Salaried,36,1,0.237,Mortgage,0
APP0228,61,111834.0,48694.0,622.0,Salaried,60,3,0.652,Own,1
APP0229,35,106599.0,65663.0,513.0,Contract,48,4,0.472,Rent,1
APP0230,21,46637.0,88813.0,369.0,Self-employed,24,3,0.315,Mortgage,1
APP0231,43,93039.0,82944.0,615.0,Salaried,60,1,0.603,Mortgage,1
APP0232,51,156772.0,106468.0,794.0,Salaried,36,2,0.095,Mortgage,1
APP0233,43,21162.0,42336.0,350.0,Salaried,60,2,0.228,Rent,0
APP0234,67,140880.0,99139.0,785.0,Self-employed,36,0,0.211,Rent,0
APP0235,61,97828.0,69188.0,528.0,Unemployed,36,4,0.74,Own,0
APP0236,60,134553.0,141387.0,595.0,Unemployed,60,0,0.544,Mortgage,0
APP0237,22,125454.0,27898.0,391.0,Salaried,36,2,0.482,Own,1
APP0238,63,87999.0,26523.0,642.0,Salaried,48,3,0.053,Rent,1
APP0239,58,68004.0,71940.0,400.0,Salaried,60,0,0.179,Mortgage,1
APP0240,40,119624.0,78711.0,450.0,Self-employed,24,5,0.495,Rent,1
APP0241,50,40716.0,105177.0,697.0,Salaried,24,2,0.316,Own,0
APP0242,62,112624.0,63585.0,327.0,Self-employed,48,0,0.697,Own,1
APP0243,66,33340.0,137489.0,546.0,Self-employed,36,3,0.585,Mortgage,1
APP0244,48,123275.0,73754.0,627.0,Salaried,12,3,0.363,Rent,0
APP0245,23,119857.0,23753.0,372.0,Salaried,36,3,0.575,Own,1
APP0246,51,31680.0,22286.0,462.0,Salaried,48,4,0.733,Rent,1
APP0247,55,140713.0,146144.0,489.0,Salaried,36,2,0.373,Own,1
APP0248,23,85361.0,24443.0,665.0,Salaried,36,4,0.5,Mortgage,1
APP0249,61,145476.0,142439.0,838.0,Self-employed,60,2,0.693,Rent,0
APP0250,31,24741.0,45321.0,760.0,Salaried,36,3,0.224,Own,1
APP0251,65,47072.0,18544.0,404.0,Salaried,60,0,0.671,Own,1
APP0252,48,98027.0,49182.0,310.0,Self-employed,36,3,0.118,Rent,1
APP0253,37,48492.0,94131.0,328.0,Contract,60,1,0.504,Rent,1
APP0254,23,71437.0,67046.0,628.0,Salaried,48,4,0.598,Mortgage,1
APP0255,21,125017.0,118909.0,386.0,Contract,24,4,0.48,Rent,1
APP0256,58,41413.0,93593.0,427.0,Unemployed,60,5,0.397,Rent,1
APP0257,39,127788.0,63114.0,766.0,Self-employed,36,5,0.482,Own,1
APP0258,63,34751.0,97021.0,781.0,Self-employed,24,0,0.156,Own,0
APP0259,32,46380.0,145863.0,762.0,Salaried,24,0,0.201,Mortgage,0
APP0260,67,113199.0,64712.0,439.0,Unemployed,48,5,0.239,Own,1
APP0261,68,146545.0,27249.0,641.0,Salaried,12,2,0.468,Mortgage,0
APP0262,26,45636.0,64273.0,636.0,Unemployed,36,0,0.359,Rent,0
APP0263,53,66599.0,126817.0,402.0,Self-employed,24,1,0.221,Own,1
APP0264,67,167870.0,36556.0,605.0,Salaried,36,5,0.668,Own,0
APP0265,37,178329.0,142626.0,589.0,Salaried,36,2,0.312,Own,0
APP0266,24,112132.0,90304.0,518.0,Self-employed,36,0,0.362,Mortgage,0
APP0267,64,90420.0,92228.0,714.0,Self-employed,36,4,0.337,Rent,1
APP0268,44,74193.0,50971.0,673.0,Salaried,12,1,0.177,Rent,0
APP0269,22,117217.0,138467.0,593.0,Self-employed,36,2,0.562,Rent,1
APP0270,63,113728.0,10228.0,699.0,Contract,36,0,0.364,Rent,0
APP0271,54,65750.0,48307.0,720.0,Salaried,48,3,0.061,Mortgage,1
APP0272,24,21694.0,65668.0,612.0,Salaried,24,2,0.725,Mortgage,1
APP0273,33,42542.0,74205.0,447.0,Salaried,12,5,0.621,Rent,1
APP0274,21,173287.0,73749.0,717.0,Contract,36,2,0.556,Mortgage,1
APP0275,68,85741.0,26449.0,695.0,Salaried,36,1,0.658,Mortgage,0
APP0276,22,96133.0,37711.0,841.0,Contract,36,0,0.685,Rent,0
APP0277,60,93671.0,18810.0,382.0,Salaried,60,1,0.286,Rent,1
APP0278,46,144803.0,88006.0,531.0,Self-employed,36,2,0.478,Own,1
APP0279,50,28523.0,55876.0,809.0,Salaried,36,0,0.476,Mortgage,1
APP0280,61,31402.0,87037.0,583.0,Salaried,36,2,0.237,Mortgage,0
APP0281,65,62687.0,90509.0,819.0,Contract,12,5,0.205,Own,1
APP0282,27,96839.0,106791.0,306.0,Salaried,36,4,0.13,Mortgage,1
APP0283,21,126722.0,84320.0,319.0,Self-employed,36,3,0.512,Mortgage,1
APP0284,27,97495.0,98953.0,738.0,Unemployed,36,5,0.597,Own,1
APP0285,55,89469.0,90137.0,497.0,Unemployed,24,4,0.583,Rent,1
APP0286,49,169928.0,99603.0,586.0,Contract,48,3,0.271,Mortgage,0
APP0287,25,44085.0,94413.0,535.0,Salaried,60,5,0.194,Mortgage,1
APP0288,32,110620.0,50851.0,524.0,Self-employed,12,0,0.368,Own,0
APP0289,47,105844.0,40711.0,817.0,Contract,36,4,0.433,Rent,1
APP0290,57,94705.0,119178.0,351.0,Salaried,48,1,0.693,Rent,1
APP0291,38,148831.0,54692.0,725.0,Salaried,36,4,0.662,Own,0
APP0292,68,61250.0,84626.0,790.0,Contract,48,5,0.691,Rent,1
APP0293,70,172512.0,33561.0,662.0,Salaried,36,2,0.645,Own,0
APP0294,59,71714.0,67556.0,517.0,Self-employed,60,0,0.725,Own,1
APP0295,43,106291.0,81801.0,388.0,Unemployed,60,2,0.376,Rent,1
APP0296,64,102349.0,95772.0,676.0,Self-employed,12,2,0.083,Rent,0
APP0297,57,155664.0,81325.0,558.0,Salaried,36,5,0.108,Rent,1
APP0298,46,89104.0,57295.0,382.0,Salaried,36,5,0.323,Mortgage,1
APP0299,43,64098.0,144457.0,498.0,Salaried,24,3,0.23,Rent,1
APP0300,62,21501.0,79347.0,829.0,Salaried,36,5,0.169,Own,1
APP0301,48,76916.0,122204.0,446.0,Contract,60,2,0.717,Own,1
APP0302,30,151860.0,111823.0,398.0,Contract,12,2,0.187,Own,0
APP0303,70,19606.0,85956.0,675.0,Salaried,36,5,0.722,Rent,1
APP0304,24,163178.0,133529.0,409.0,Salaried,60,4,0.583,Own,1
APP0305,55,105938.0,23598.0,806.0,Contract,36,3,0.499,Own,0
APP0306,53,40720.0,138554.0,773.0,Salaried,36,2,0.523,Own,0
APP0307,50,66953.0,128283.0,841.0,Self-employed,60,4,0.282,Rent,1
APP0308,23,107754.0,78027.0,802.0,Salaried,36,4,0.502,Rent,0
APP0309,45,69142.0,111342.0,434.0,Self-employed,24,2,0.181,Mortgage,1
APP0310,65,35589.0,80440.0,416.0,Salaried,12,0,0.706,Mortgage,1
APP0311,32,125890.0,43971.0,488.0,Self-employed,60,0,0.261,Rent,0
APP0312,55,126903.0,120982.0,558.0,Salaried,36,0,0.229,Own,1
APP0313,63,37257.0,40658.0,784.0,Self-employed,36,2,0.548,Rent,0
APP0314,68,63560.0,50595.0,704.0,Salaried,24,3,0.51,Own,0
APP0315,46,57507.0,80297.0,655.0,Salaried,36,4,0.366,Rent,1
APP0316,36,124827.0,126421.0,783.0,Self-employed,60,1,0.493,Rent,0
APP0317,55,136308.0,60669.0,655.0,Salaried,36,4,0.162,Rent,1
APP0318,45,135773.0,76651.0,508.0,Salaried,60,3,0.521,Own,1
APP0319,52,170080.0,11041.0,527.0,Salaried,36,0,0.239,Rent,0
APP0320,58,142521.0,21799.0,584.0,Salaried,36,2,0.241,Mortgage,0
APP0321,56,69950.0,13112.0,348.0,Salaried,60,1,0.164,Mortgage,1
APP0322,33,35454.0,15448.0,708.0,Unemployed,36,5,0.283,Rent,1
APP0323,58,117572.0,130936.0,659.0,Salaried,36,5,0.282,Rent,1
APP0324,48,166394.0,127089.0,702.0,Contract,60,4,0.368,Own,1
APP0325,67,175976.0,124174.0,594.0,Unemployed,36,3,0.183,Rent,1
APP0326,53,55294.0,13057.0,731.0,Salaried,36,2,0.185,Rent,0
APP0327,65,56306.0,16258.0,823.0,Self-employed,60,1,0.429,Own,0
APP0328,69,24060.0,45688.0,614.0,Contract,24,4,0.14,Rent,0
APP0329,70,40884.0,86968.0,544.0,Self-employed,36,0,0.532,Mortgage,1
APP0330,58,107886.0,53449.0,357.0,Salaried,12,1,0.711,Rent,1
APP0331,50,106582.0,75696.0,729.0,Salaried,36,0,0.349,Rent,0
APP0332,26,78089.0,30084.0,798.0,Salaried,24,2,0.681,Rent,1
APP0333,40,68213.0,110963.0,685.0,Self-employed,48,1,0.119,Rent,0
APP0334,44,152426.0,50514.0,776.0,Unemployed,24,1,0.08,Rent,0
APP0335,60,92525.0,14648.0,774.0,Unemployed,48,2,0.555,Own,1
APP0336,50,148937.0,112691.0,739.0,Salaried,36,5,0.583,Rent,0
APP0337,42,174041.0,135905.0,577.0,Self-employed,36,3,0.64,Rent,1
APP0338,28,69376.0,7129.0,355.0,Salaried,36,4,0.09,Own,1
APP0339,56,50843.0,68318.0,301.0,Unemployed,48,5,0.594,Mortgage,1
APP0340,42,172370.0,124940.0,412.0,Salaried,36,5,0.314,Own,0
APP0341,22,120843.0,107394.0,537.0,Unemployed,36,2,0.262,Rent,1
APP0342,35,65128.0,129200.0,709.0,Contract,60,5,0.171,Rent,1
APP0343,64,118741.0,65205.0,551.0,Salaried,36,5,0.747,Rent,1
